 ___energy_hartree  E_kj/mol      step
 -1912.054778450000    41.718   rev_194
 -1912.054787320000    41.695   rev_195
 -1912.054795670000    41.673   rev_196
 -1912.054803560000    41.652   rev_197
 -1912.054810990000    41.633   rev_198
 -1912.054818010000    41.614   rev_199
 -1912.054824670000    41.597   rev_200
 -1912.054831010000    41.580   rev_201
 -1912.054837040000    41.564   rev_202
 -1912.054842750000    41.549   rev_203
 -1912.054848090000    41.535   rev_204
 -1912.054853000000    41.522   rev_205
 -1912.054857460000    41.511   rev_206
 -1912.054861380000    41.500   rev_207
 -1912.054864730000    41.491   rev_208
 -1912.054867480000    41.484   rev_209
 -1912.054869610000    41.479   rev_210
 -1912.054871120000    41.475   rev_211
 -1912.054871970000    41.472   rev_212
 -1912.054872160000    41.472   rev_213


